ID_100133	Der Mieter will den Maler bezahlen. Der ist	Der ist letzte Woche ausgezogen.	"Auf was bezieht sich das ""Der"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Mieter"""	1
ID_100151	Der Auszubildende soll den Buchhalter sehen. Dieser hat	...einen Termin mit dem Chef.	"Auf was bezieht sich das ""Dieser"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Buchhalter"""	1
ID_100061	Den Reiseleiter will der Busfahrer wecken. Dieser ist	Dieser ist in seinem Zimmer eingeschlafen.	"Auf was bezieht sich das ""Dieser"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Reiseleiter"""	1
ID_100157	Der Trainer will den Sieger ehren. Dieser hat	einen Pokal gewonnen.	"Auf was bezieht sich das ""Dieser"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Sieger"""	1
ID_100037	Den Chef will der Sekretär stören. Dieser ist	bei einer wichtigen Besprechung.	"Auf was bezieht sich das ""Dieser"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Chef"""	1
ID_100205	Der Babysitter will den Jungen tadeln. Er hat	das Spielzeug in den Teich geworfen.	"Auf was bezieht sich das ""Er"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Jungen"""	1
ID_100127	Der Bäckermeister will den Unruhestifter melden. Der ist	Der ist in der Bäckerei herumgelaufen und hat Mehl gestreut.	"Auf was bezieht sich das ""Der"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Unruhestifter"""	1
ID_100019	Den Raser will der Polizist prüfen. Der hat	An einer roten Ampel angehalten.	"Auf was bezieht sich das ""Der"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Raser"""	1
ID_100121	Der Sanitäter muss den Verletzten tragen. Der ist	Von einem Auto angefahren worden.	"Auf was bezieht sich das ""Der"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Verletzten"""	1
ID_100025	Den Direktor will der Schüler begrüßen. Der hat	einen großen Hund.	"Auf was bezieht sich das ""Der"" in dem Satz, den Sie ergänzt haben?"	"Auf ""Direktor"""	1
