ID_100959	Den Verletzten muss der Sanitäter tragen. Dieser ist
ID_100903	Den Patienten will der Arzt untersuchen. Der hat
ID_101151	Der Vorgesetzte will den Assistenten suchen. Er hat
ID_100991	Den Kameraden will der Soldat überraschen. Dieser ist
ID_101071	Der Kellner soll den Gast bedienen. Der ist
ID_101047	Der Steuerberater will den Geschäftsmann warnen. Der ist
ID_101087	Der Samariter soll den Kranken pflegen. Der ist
ID_100935	Den Schauspieler will der Regisseur unterstützen. Der hat
ID_101159	Der Trainer will den Sieger ehren. Er hat
ID_101007	Den Ordnungshüter soll der Passant informieren. Er ist
ID_101135	Der Polizist will den Raser prüfen. Dieser hat
ID_101183	Der Lehrer will den Klassensprecher loben. Er hat
ID_101103	Der Schüler will den Direktor begrüßen. Dieser hat
ID_101111	Der Doktorand soll den Professor vertreten. Dieser hat
ID_101023	Den Angeklagten will der Anwalt kontrollieren. Er ist
ID_101015	Den Dieb soll der Verkäufer anzeigen. Er hat
ID_101063	Der Kunde will den Fachmann aufsuchen. Der ist
ID_101127	Der Ober soll den Koch loben. Dieser hat
ID_101095	Der Komödiant will den Clown einladen. Dieser hat
ID_100911	Den Jungen will der Babysitter tadeln. Der hat
ID_101119	Der Journalist soll den Abenteurer fotografieren. Dieser hat
ID_101031	Den Reiseleiter will der Busfahrer wecken. Er ist
ID_100975	Den Hausmeister soll der Pförtner benachrichtigen. Dieser ist
ID_100983	Den Unruhestifter will der Bäckermeister melden. Dieser ist
ID_101175	Der Pfleger soll den Opa baden. Er hat
ID_100927	Den Bewerber soll der Manager einstellen. Der hat
ID_101039	Den Politiker will der Künstler zeichnen. Er ist
ID_100999	Den Chef will der Sekretär stören. Er ist
ID_100951	Den Angestellten will der Wachmann retten. Dieser ist
ID_100919	Den Dozenten will der Student treffen. Der hat
ID_100943	Den Sohn will der Vater küssen. Der hat
ID_101167	Der Bodyguard will den Star verstecken. Er hat
ID_101055	Der Fahrer will den Anfänger überholen. Der ist
ID_100967	Den Maler will der Mieter bezahlen. Dieser ist
ID_101079	Der Abiturient will den Besucher erschrecken. Der ist
ID_101143	Der Auszubildende soll den Buchhalter sehen. Er hat
