ID_100638	Der Ober soll den Koch loben. Er hat	Er hat ein außergewöhnlich leckeres Gericht zubereitet.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Das "Er" bezieht sich auf den Koch.
ID_100407	Den Opa soll der Pfleger baden. Der hat	Der hat seit Tagen darauf bestanden, seine Unabhängigkeit zu bewahren.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf "Opa".
ID_100449	Den Geschäftsmann will der Steuerberater warnen. Dieser ist	Dieser ist gerade dabei, eine riskante Investition zu tätigen.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	"Dieser" bezieht sich auf den Geschäftsmann.
ID_100582	Der Arzt will den Patienten untersuchen. Dieser hat	Dieser hat über starke Bauchschmerzen geklagt.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	"Dieser" bezieht sich auf "den Patienten".
ID_100575	Der Vater will den Sohn küssen. Dieser hat	Dieser hat gerade seine Stirn verletzt.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	"Dieser" bezieht sich auf "den Sohn".
ID_100505	Den Unruhestifter will der Bäckermeister melden. Er ist	Er ist in die Bäckerei eingedrungen und hat Chaos angerichtet.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Das "Er" bezieht sich auf den "Unruhestifter".
ID_100554	Der Verkäufer soll den Dieb anzeigen. Der ist	Der ist mit der gestohlenen Ware gerade aus dem Laden gerannt.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf "Dieb".
ID_100540	Der Busfahrer will den Reiseleiter wecken. Der ist	Der ist im hinteren Teil des Busses eingeschlafen.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf den Reiseleiter.
ID_100526	Der Anwalt will den Angeklagten kontrollieren. Der ist	Der ist nervös und zappelt auf seinem Stuhl.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf "Angeklagten".
ID_100512	Den Verletzten muss der Sanitäter tragen. Er ist	Er ist zu schwach, um selbst zu gehen.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Das "Er" bezieht sich auf "den Verletzten".
ID_100561	Der Künstler will den Politiker zeichnen. Der ist	Der ist dafür bekannt, eine markante Nase zu haben.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf "Politiker".
ID_100610	Der Komödiant will den Clown einladen. Er hat	Er hat gehört, dass dieser der lustigste in der ganzen Stadt ist.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Das "Er" bezieht sich auf "der Komödiant".
ID_100428	Den Klassensprecher will der Lehrer loben. Der hat	Der hat im letzten Monat erfolgreich die Organisation des Schulfestes übernommen.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf den "Klassensprecher".
ID_100435	Den Buchhalter soll der Auszubildende sehen. Der hat	Der hat gerade eine wichtige Frage zur Buchführung.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf "der Auszubildende".
ID_100470	Den Gast soll der Kellner bedienen. Dieser ist	Dieser ist gerade an einem anderen Tisch beschäftigt.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	"Dieser" bezieht sich auf "der Kellner".
ID_100645	Der Doktorand soll den Professor vertreten. Er hat	Er hat bereits mehrere Vorlesungen zu dem Thema gehalten.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Das "Er" bezieht sich auf "der Doktorand".
ID_100568	Der Manager soll den Bewerber einstellen. Dieser hat	Dieser hat beeindruckende Qualifikationen und Erfahrungen.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	"Dieser" bezieht sich auf den "Bewerber".
ID_100624	Der Journalist soll den Abenteurer fotografieren. Er hat	Er hat seine Kamera bereit und wartet auf den perfekten Moment.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Das "Er" bezieht sich auf den Journalisten.
ID_100498	Den Angestellten will der Wachmann retten. Er ist	Er ist in einem Raum eingeschlossen, der langsam mit Rauch gefüllt wird.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Das "Er" bezieht sich auf "den Angestellten".
ID_100603	Der Babysitter will den Jungen tadeln. Dieser hat	Dieser hat mit seinem Ball eine Fensterscheibe zerbrochen.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	"Dieser" bezieht sich auf "den Jungen".
ID_100463	Den Kranken soll der Samariter pflegen. Dieser ist	Dieser ist durch die kalte Nacht gewandert und hat sich eine schwere Erkältung zugezogen.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	"Dieser" bezieht sich auf den "Samariter".
ID_100477	Den Anfänger will der Fahrer überholen. Dieser ist	Dieser ist jedoch unerwartet langsam und zögert bei jedem Überholmanöver.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	"Dieser" bezieht sich auf "Anfänger".
ID_100442	Den Besucher will der Abiturient erschrecken. Dieser ist	Dieser ist gerade in den dunklen Keller hinabgestiegen.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	"Dieser" bezieht sich auf "Besucher".
ID_100631	Der Polizist will den Raser prüfen. Er hat	Er hat den Verdacht, dass dieser unter Alkoholeinfluss steht.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Das "Er" bezieht sich auf den Polizist.
ID_100617	Der Schüler will den Direktor begrüßen. Er hat	Er hat seinen besten Anzug angezogen.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Das "Er" bezieht sich auf "der Schüler".
ID_100400	Den Star will der Bodyguard verstecken. Der hat	Der hat Drohbriefe von einem besessenen Fan erhalten.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf "Star".
ID_100589	Der Student will den Dozenten treffen. Dieser hat	Dieser hat gerade seine Sprechstunde begonnen.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	"Dieser" bezieht sich auf "Dozenten".
ID_100414	Den Sieger will der Trainer ehren. Der hat	Der hat im entscheidenden Spiel das Siegtor geschossen.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf "Sieger".
ID_100547	Der Passant soll den Ordnungshüter informieren. Der ist	Der ist gerade um die Ecke gegangen.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf "Ordnungshüter".
ID_100533	Der Sekretär will den Chef stören. Der ist	Der ist gerade in einer wichtigen Besprechung.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf "Chef".
ID_100484	Den Kameraden will der Soldat überraschen. Er ist	Er ist leise hinter ihn getreten.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Das "Er" bezieht sich auf "der Soldat".
ID_100456	Den Fachmann will der Kunde aufsuchen. Dieser ist	Dieser ist jedoch momentan auf einer Konferenz im Ausland.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	"Dieser" bezieht sich auf "Fachmann".
ID_100596	Der Regisseur will den Schauspieler unterstützen. Dieser hat	Dieser hat Lampenfieber vor seiner ersten großen Bühnenrolle.	Auf was bezieht sich das "Dieser" in dem Satz, den Sie ergänzt haben?	"Dieser" bezieht sich auf "den Schauspieler".
ID_100519	Den Hausmeister soll der Pförtner benachrichtigen. Er ist	Er ist für die Wartung des Gebäudes verantwortlich.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Das "Er" bezieht sich auf den Hausmeister.
ID_100491	Den Maler will der Mieter bezahlen. Er ist	Er ist mit der Qualität der Arbeit sehr zufrieden.	Auf was bezieht sich das "Er" in dem Satz, den Sie ergänzt haben?	Das "Er" bezieht sich auf "Mieter".
ID_100421	Den Assistenten will der Vorgesetzte suchen. Der hat	Der hat wichtige Unterlagen, die sofort benötigt werden.	Auf was bezieht sich das "Der" in dem Satz, den Sie ergänzt haben?	Das "Der" bezieht sich auf "Assistenten".
